training neural net 2......
Epoch 1, Loss: 2.3006491661071777
Epoch 2, Loss: 2.2931413650512695
Epoch 3, Loss: 2.28609299659729
Epoch 4, Loss: 2.2794768810272217
Epoch 5, Loss: 2.2732138633728027
Epoch 6, Loss: 2.267300605773926
Epoch 7, Loss: 2.2616047859191895
Epoch 8, Loss: 2.2561707496643066
Epoch 9, Loss: 2.250929117202759
Epoch 10, Loss: 2.2458245754241943
Epoch 11, Loss: 2.2407994270324707
Epoch 12, Loss: 2.2360289096832275
Epoch 13, Loss: 2.231411933898926
Epoch 14, Loss: 2.2269222736358643
Epoch 15, Loss: 2.2226171493530273
Epoch 16, Loss: 2.2184739112854004
Epoch 17, Loss: 2.214413642883301
Epoch 18, Loss: 2.2104992866516113
Epoch 19, Loss: 2.2067365646362305
Epoch 20, Loss: 2.203138828277588
Epoch 21, Loss: 2.199667453765869
Epoch 22, Loss: 2.1963179111480713
Epoch 23, Loss: 2.1931493282318115
Epoch 24, Loss: 2.1900434494018555
Epoch 25, Loss: 2.1869664192199707
Epoch 26, Loss: 2.1839475631713867
Epoch 27, Loss: 2.1809918880462646
Epoch 28, Loss: 2.1781082153320312
Epoch 29, Loss: 2.1752891540527344
Epoch 30, Loss: 2.1725070476531982
Epoch 31, Loss: 2.169748067855835
Epoch 32, Loss: 2.167011260986328
Epoch 33, Loss: 2.1643106937408447
Epoch 34, Loss: 2.1616339683532715
Epoch 35, Loss: 2.1589879989624023
Epoch 36, Loss: 2.15637469291687
Epoch 37, Loss: 2.153797149658203
Epoch 38, Loss: 2.1512367725372314
Epoch 39, Loss: 2.148698329925537
Epoch 40, Loss: 2.146218776702881
Epoch 41, Loss: 2.143730878829956
Epoch 42, Loss: 2.1412558555603027
Epoch 43, Loss: 2.138791084289551
Epoch 44, Loss: 2.136334180831909
Epoch 45, Loss: 2.1339046955108643
Epoch 46, Loss: 2.131469488143921
Epoch 47, Loss: 2.1290385723114014
Epoch 48, Loss: 2.1265947818756104
Epoch 49, Loss: 2.1241655349731445
Epoch 50, Loss: 2.1217613220214844
Epoch 51, Loss: 2.1193363666534424
Epoch 52, Loss: 2.116912841796875
Epoch 53, Loss: 2.114487886428833
Epoch 54, Loss: 2.112076759338379
Epoch 55, Loss: 2.10968017578125
Epoch 56, Loss: 2.1073083877563477
Epoch 57, Loss: 2.104945659637451
Epoch 58, Loss: 2.102574348449707
Epoch 59, Loss: 2.1001689434051514
Epoch 60, Loss: 2.097764492034912
Epoch 61, Loss: 2.0953598022460938
Epoch 62, Loss: 2.0929548740386963
Epoch 63, Loss: 2.090529680252075
Epoch 64, Loss: 2.0881335735321045
Epoch 65, Loss: 2.085728168487549
Epoch 66, Loss: 2.0833349227905273
Epoch 67, Loss: 2.0809226036071777
Epoch 68, Loss: 2.0785727500915527
Epoch 69, Loss: 2.0761923789978027
Epoch 70, Loss: 2.0738213062286377
Epoch 71, Loss: 2.0714590549468994
Epoch 72, Loss: 2.069096803665161
Epoch 73, Loss: 2.0667200088500977
Epoch 74, Loss: 2.0643560886383057
Epoch 75, Loss: 2.061971664428711
Epoch 76, Loss: 2.059598445892334
Epoch 77, Loss: 2.0572211742401123
Epoch 78, Loss: 2.0548527240753174
Epoch 79, Loss: 2.0524826049804688
Epoch 80, Loss: 2.0501198768615723
Epoch 81, Loss: 2.0477280616760254
Epoch 82, Loss: 2.0453569889068604
Epoch 83, Loss: 2.0429556369781494
Epoch 84, Loss: 2.040576457977295
Epoch 85, Loss: 2.0381834506988525
Epoch 86, Loss: 2.035801887512207
Epoch 87, Loss: 2.0333876609802246
Epoch 88, Loss: 2.0309946537017822
Epoch 89, Loss: 2.02856183052063
Epoch 90, Loss: 2.0261335372924805
Epoch 91, Loss: 2.023677110671997
Epoch 92, Loss: 2.0212366580963135
Epoch 93, Loss: 2.018782377243042
Epoch 94, Loss: 2.0163094997406006
Epoch 95, Loss: 2.0138449668884277
Epoch 96, Loss: 2.0113706588745117
Epoch 97, Loss: 2.0089051723480225
Epoch 98, Loss: 2.0064005851745605
Epoch 99, Loss: 2.0039167404174805
Epoch 100, Loss: 2.001415729522705
Epoch 101, Loss: 1.9988933801651
Epoch 102, Loss: 1.9963949918746948
Epoch 103, Loss: 1.9938766956329346
Epoch 104, Loss: 1.991371989250183
Epoch 105, Loss: 1.988838791847229
Epoch 106, Loss: 1.986307144165039
Epoch 107, Loss: 1.983783483505249
Epoch 108, Loss: 1.981258749961853
Epoch 109, Loss: 1.9787015914916992
Epoch 110, Loss: 1.9761383533477783
Epoch 111, Loss: 1.9735842943191528
Epoch 112, Loss: 1.9709941148757935
Epoch 113, Loss: 1.9684031009674072
Epoch 114, Loss: 1.9657951593399048
Epoch 115, Loss: 1.96318781375885
Epoch 116, Loss: 1.960561752319336
Epoch 117, Loss: 1.957902431488037
Epoch 118, Loss: 1.9552606344223022
Epoch 119, Loss: 1.952592372894287
Epoch 120, Loss: 1.9499226808547974
Epoch 121, Loss: 1.9472463130950928
Epoch 122, Loss: 1.9445792436599731
Epoch 123, Loss: 1.9419057369232178
Epoch 124, Loss: 1.9391967058181763
Epoch 125, Loss: 1.936490535736084
Epoch 126, Loss: 1.9338082075119019
Epoch 127, Loss: 1.9310497045516968
Epoch 128, Loss: 1.9283360242843628
Epoch 129, Loss: 1.9255832433700562
Epoch 130, Loss: 1.9228428602218628
Epoch 131, Loss: 1.92010498046875
Epoch 132, Loss: 1.91739821434021
Epoch 133, Loss: 1.9146260023117065
Epoch 134, Loss: 1.9118541479110718
Epoch 135, Loss: 1.9091410636901855
